tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
4834,2019-01-01T13:34:40Z,2019-01-01T14:55:14Z,3168,Central Park West & W 85 St,40.78472675,-73.96961715,3292,5 Ave & E 93 St,40.7857851,-73.957481,32180,Customer,1969,0
710,2019-01-01T13:34:43Z,2019-01-01T13:46:33Z,524,W 43 St & 6 Ave,40.75527307,-73.98316936,3168,Central Park West & W 85 St,40.78472675,-73.96961715,34720,Subscriber,1975,1
1016,2019-01-01T13:34:45Z,2019-01-01T13:51:41Z,3369,E 82 St & East End Ave,40.7724607,-73.9468208,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,30752,Subscriber,1954,2
956,2019-01-01T13:34:56Z,2019-01-01T13:50:53Z,458,11 Ave & W 27 St,40.751396,-74.005226,386,Centre St & Worth St,40.71494807,-74.00234482,34916,Subscriber,1995,1
509,2019-01-01T13:35:00Z,2019-01-01T13:43:29Z,2003,1 Ave & E 18 St,40.733812191966315,-73.98054420948029,382,University Pl & E 14 St,40.73492695,-73.99200509,33317,Subscriber,1958,2
1230,2019-01-01T13:34:58Z,2019-01-01T13:55:28Z,72,W 52 St & 11 Ave,40.76727216,-73.99392888,229,Great Jones St,40.72743423,-73.99379025,35593,Subscriber,1995,1
2279,2019-01-01T13:34:52Z,2019-01-01T14:12:51Z,3676,Van Brunt St & Van Dyke St,40.6758329439129,-74.01472628116608,3308,Kane St & Clinton St,40.6861758,-73.99645295,35231,Subscriber,1973,1
2183,2019-01-01T13:34:58Z,2019-01-01T14:11:21Z,3159,W 67 St & Broadway,40.77492513,-73.98266566,3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,31079,Subscriber,1957,1
1045,2019-01-01T13:35:00Z,2019-01-01T13:52:25Z,3163,Central Park West & W 68 St,40.7734066,-73.97782542,3163,Central Park West & W 68 St,40.7734066,-73.97782542,18029,Customer,1969,0
994,2019-01-01T13:35:00Z,2019-01-01T13:51:34Z,3338,2 Ave & E 99 St,40.7862586,-73.94552579,3338,2 Ave & E 99 St,40.7862586,-73.94552579,32700,Subscriber,1992,1
285,2019-01-01T13:35:01Z,2019-01-01T13:39:46Z,503,E 20 St & Park Ave,40.73827428,-73.98751968,545,E 23 St & 1 Ave,40.736502,-73.97809472,34937,Subscriber,1987,2
496,2019-01-01T13:35:05Z,2019-01-01T13:43:21Z,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,26341,Customer,1969,0
4389,2019-01-01T13:35:06Z,2019-01-01T14:48:16Z,3168,Central Park West & W 85 St,40.78472675,-73.96961715,3282,5 Ave & E 88 St,40.78307,-73.95939,14895,Customer,1969,0
1917,2019-01-01T13:35:17Z,2019-01-01T14:07:14Z,3295,Central Park W & W 96 St,40.79127,-73.964839,3158,W 63 St & Broadway,40.77163851,-73.98261428,19147,Customer,1969,0
1715,2019-01-01T13:35:11Z,2019-01-01T14:03:47Z,355,Bayard St & Baxter St,40.71602118,-73.99974372,308,St James Pl & Oliver St,40.71307916,-73.99851193,34772,Subscriber,1951,1
1943,2019-01-01T13:35:16Z,2019-01-01T14:07:39Z,530,11 Ave & W 59 St,40.77149671054441,-73.99046033620834,237,E 11 St & 2 Ave,40.73047309,-73.98672378,35013,Subscriber,1978,2
392,2019-01-01T13:35:11Z,2019-01-01T13:41:44Z,326,E 11 St & 1 Ave,40.72953837,-73.98426726,3463,E 16 St & Irving Pl,40.735367055605394,-73.98797392845154,28483,Subscriber,1968,1
162,2019-01-01T13:35:11Z,2019-01-01T13:37:53Z,485,W 37 St & 5 Ave,40.75038009,-73.98338988,526,E 33 St & 5 Ave,40.74765947,-73.98490707,35614,Subscriber,1982,2
1338,2019-01-01T13:35:14Z,2019-01-01T13:57:32Z,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,398,Atlantic Ave & Furman St,40.69165183,-73.9999786,33796,Subscriber,1981,1
1149,2019-01-01T13:35:10Z,2019-01-01T13:54:20Z,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,3282,5 Ave & E 88 St,40.78307,-73.95939,25317,Customer,1989,1
2904,2019-01-01T13:35:11Z,2019-01-01T14:23:35Z,3641,Broadway & W 25 St,40.74286877312112,-73.98918628692627,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,16351,Customer,2000,1
1312,2019-01-01T13:35:13Z,2019-01-01T13:57:05Z,309,Murray St & West St,40.7149787,-74.013012,127,Barrow St & Hudson St,40.73172428,-74.00674436,19618,Customer,1969,0
988,2019-01-01T13:35:30Z,2019-01-01T13:51:58Z,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,15332,Customer,1969,0
239,2019-01-01T13:35:17Z,2019-01-01T13:39:17Z,164,E 47 St & 2 Ave,40.75323098,-73.97032517,167,E 39 St & 3 Ave,40.7489006,-73.97604882,34076,Customer,1969,0
1319,2019-01-01T13:35:16Z,2019-01-01T13:57:16Z,309,Murray St & West St,40.7149787,-74.013012,127,Barrow St & Hudson St,40.73172428,-74.00674436,29378,Customer,1969,0
1190,2019-01-01T13:35:23Z,2019-01-01T13:55:14Z,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,3141,1 Ave & E 68 St,40.76500525,-73.95818491,35685,Subscriber,1991,1
1242,2019-01-01T13:35:21Z,2019-01-01T13:56:03Z,448,W 37 St & 10 Ave,40.75660359,-73.9979009,3256,Pier 40 - Hudson River Park,40.7277140777778,-74.01129573583603,17248,Subscriber,1991,1
261,2019-01-01T13:35:19Z,2019-01-01T13:39:40Z,3509,Lenox Ave & W 115 St,40.8011939,-73.9500739,3387,E 106 St & Madison Ave,40.7934337,-73.94945003,20803,Subscriber,1997,1
